id,nome,siglaPartido,siglaUf,fundeb,orcamento,previdencia,wilson
204388,Bibo Nunes,PSL,RS,Não,Não,Sim,Não
141513,Bilac Pinto,DEM,MG,Sim,Não,Sim,NA
204561,Bira do Pindaré,PSB,MA,Sim,Sim,Não,Não
204397,Boca Aberta,PROS,PR,NA,Sim,Sim,NA
160538,Bohn Gass,PT,RS,Sim,Sim,Não,Sim
74052,Bosco Costa,PL,SE,Não,Não,Sim,Sim
204551,Bosco Saraiva,SOLIDARIEDADE,AM,NA,Não,Sim,Não
204502,Bozzella,PSL,SP,Não,Não,Sim,Não
160589,Bruna Furlan,PSDB,SP,Sim,Sim,Sim,NA
93083,Cacá Leão,PP,BA,Sim,Não,Sim,Sim
178853,Caetano,PT,BA,NA,NA,NA,NA
204352,Camilo Capiberibe,PSB,AP,Sim,Sim,Não,Não
204572,Capitão Alberto Neto,REPUBLICANOS,AM,Não,Não,Sim,Não
178829,Capitão Augusto,PL,SP,Não,Não,Sim,NA
178924,Capitão Fábio Abreu,PL,PI,NA,NA,NA,NA
204487,Capitão Wagner,PROS,CE,Não,Não,Não,Não
